,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,text,label
3582,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"With a push of effort, she was able to stoke the flames within her chest, flaring the pewter.",True
3587,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Interesting, she thought, noting how quickly her pewter had burned during that brief moment.",True
3612,-1,-1,-1,-1,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,For emotions—the external mental powers—you Pull with zinc and Push with brass.,True
3613,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,You just used pewter to Push your body.,True
3615,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“He burns pewter.”
Kelsier nodded.",True
3616,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“Mistings who can burn pewter are called Thugs.,True
3632,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“And it’s one of the slowest-burning metals—the tin in that vial is enough to keep you going for hours.,True
3664,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“Let’s try another metal.”
Vin nodded, leaving her tin on but picking another metal to burn as well.",True
3691,-1,-1,-1,-1,-1,-1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“I started burning copper,” Kelsier said, “the companion to bronze.",True
3692,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"When you burn copper, it hides your use of powers from other Allomancers.",True
3698,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"However, if you’re ever in a skaa guise and need to burn metals, make sure you turn on your copper first.”
Vin nodded appreciatively.",True
3703,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“Anyone burning copper is immune to emotional Allomancy.,True
3709,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Allomantic pulses coming from a shop in a skaa sector of town would be a quick giveaway to a passing Inquisitor.”
“But, you can burn copper,” Vin said.",True
3710,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“Why were you so worried about finding a Smoker for the crew?”
“I can burn copper, true,” Kelsier said.",True
3719,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"They started walking again, and Kelsier gave her more time to get used to burning tin.",True
3758,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Take burning pewter, for instance.",True
3766,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“Burning tin has consequences too.,True
3768,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“With iron, you can Pull a metal source toward yourself.",True
3769,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"With steel, you can Push one away.",True
3772,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“What are we doing here?”
“We’re going to practice Ironpulling and Steelpushing,” Kelsier said.",True
3775,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“Burn steel, the opposite of the metal you burned a few moments ago.”
Vin nodded.",True
3793,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,You use your own weight when you Steelpush.,True
3796,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ironpulling is similar—either you’ll be Pulled toward the object or it will be Pulled toward you.,True
3799,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Knowing how much, or how little, you will move when you burn steel or iron will give you a major advantage over your opponents.",True
3822,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“Put the ingot directly below you, and remember to Steelpush, not Ironpull.",True
3830,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She glanced down at the ingot, burning steel.",True
3886,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She Pushed reflexively with her steel, but her trajectory was off; she had fallen to the side of the ingot, not directly toward it.",True
3888,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Alarmed, she Pushed again—harder this time, flaring her steel.",True
3903,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Eventually, she burned pewter, using the sensation of solidness it provided to steady her nerves.",True
3906,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,“Ironpulling and Steelpushing are dangerous skills.,True
3977,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“Flare your tin,” Kelsier suggested.",True
4157,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Burning tin, she was able to study the neatly organized and well-groomed streets.",True
4403,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She burned pewter with a flash and hit the ground running, dashing along Fellise’s quiet streets.",True
4408,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Burning pewter enhanced more than muscles—it increased all the body’s physical abilities.,True
4409,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Keeping pewter at a low burn gave her a sense of balance that any night burglar would have envied.,True
4412,-1,-1,3,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Her copper on to hide her Allomancy, she flared tin to strain her senses.",True
4420,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She flared pewter, landing on the cobbled street beside the wall.",True
4425,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin followed, letting go of the coin below her, instead burning iron and Pulling on one of the mansion’s window latches.",True
4459,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin flared her steel as she flew, and heard her opponent grunt as he was Pushed backward as well.",True
4461,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin slammed into a tree, but she flared pewter and ignored the pain.",True
4524,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"You’re a talented Allomancer, but you’ll need more than Steelpushes to succeed against the nobility.",True
4703,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Today, when we were training, we got into a Steelpush shoving match.",True
4843,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,She started burning copper—as Kelsier had taught her—to shield herself from further manipulations on Breeze’s part.,True
4966,-1,-1,-1,-1,-1,-1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Just a nudge—a reminder.”
Curious, Vin extinguished her copper for a moment, burning bronze instead, trying to sense Breeze’s use of Allomancy.",True
5079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"While burning atium, a Mistborn was virtually unstoppable, which was part of why it was so valuable.",True
5366,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Then she reached inside and burned tin.,True
5384,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,He itched to burn steel and begin jumping toward his destination.,True
5419,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Kelsier burned tin, and smelled blood on the air.",True
5426,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Taking a breath, he flared pewter and ducked inside.",True
5436,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"With a girlish yelp, a small figure ducked to the ground, coins deflected as she burned steel.",True
5791,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The table was too far away to hear unaided, but with tin…
She reached inside to burn the metal, but then paused.",True
5794,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Her Allomancy hidden, she burned tin.",True
5842,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"A spark of burned pewter, however, made the climb effortless enough that she didn’t sweat and ruin her makeup.",True
5962,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She got one more glimpse into the main chamber as she retrieved her shawl, and she burned tin, squinting against the light and seeking the balcony above.",True
6001,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A quick burn of tin let Vin hear the conversation—Kelsier had finally returned.,True
6068,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She flared iron, and was rewarded with the sight of a fading blue metal line, pointing into the distance.",True
6070,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin burned steel, Pushing herself into the cold, humid autumn night.",True
6073,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The maneuver swung her in a soaring arc over the steel gates, which she then Pushed against to throw herself farther into the air.",True
6075,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,She wasn’t carrying any metal—not even coins—and she kept her copper burning to hide her use of Allomancy.,True
6090,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She flared her iron, but it was barely enough to catch a glimpse of him disappearing again in the distance.",True
6092,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Her flared iron, however, showed her something else.",True
6106,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She Pushed hard, flaring her steel, throwing herself as far up into the sky as she could.",True
6107,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"As she flew, she flared her iron, searching for other sources of metal.",True
6124,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She flared tin, and a massive shadow appeared in the night before her, its top sparkling with balls of light.",True
6137,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She wandered randomly, pushing off of window clasps and bits of metal, using the bronze bar—then pulling it back into her hand—when long jumps were necessary.",True
6157,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Her iron showed blue lines moving in the distance, and she hurriedly jumped out over the street and Pushed herself off a sewer grate below, determined not to lose him again.",True
6239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"As he began to walk forward, she drew upon her new well of strength and burned atium.",True
6253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"“While you’re burning atium,” he said, “nothing can surprise you.",True
6260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"“I just burned atium too,” Kelsier said.",True
6264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"“The only way to defeat someone who is burning atium is to burn it yourself—that way, neither of you has an advantage.”
The images vanished.",True
6293,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“I burned up most of my steel getting here.”
Kelsier handed her another vial.",True
6349,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Turn on your copper; that will make you immune.”
Vin nodded, burning copper.",True
6356,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She burned pewter as she fell, and hit the ground with Allomantically strengthened legs.",True
6359,-1,-1,3,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She ran in the wet, misty night, burning tin and copper—one to let her see, the other to let her hide.",True
6387,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,She burned steel and threw out a handful of coins.,True
6389,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She burned iron, Pulling the coins back to her hand.",True
6400,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin burned tin, her eyes adapting to light from the corridor outside.",True
6413,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Something seemed to Push her emotions, making her more depressed despite her copper.",True
6431,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She flared pewter, willing her legs to move faster.",True
6484,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She clutched Kelsier’s coin pouch and burned iron, frantically seeking an anchor down the corridor.",True
6494,-1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Vin flared tin and pewter, clearing her mind and pushing away the pain.",True
6513,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"However, the force of his Ironpulls was far more powerful than Kelsier’s had ever been.",True
6530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,"She pulled out Kelsier’s vial and downed the atium, then burned it.",True
6566,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Flare pewter!,True
6579,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She kept her pewter flared, amazed at how well her body still worked, and stumbled out into the rain, reflexively clutching the leather book to her chest.",True
6599,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She strained in the night, burning tin, the rainfall becoming a thunder in her ears.",True
6603,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She made sure her copper was still burning, Pulled lightly against the spire to hold herself in place, and ripped off a piece of her shirt to bandage the wound.",True
6661,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He still burned pewter, the metal helping him resist his several wounds.",True
6665,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kelsier flared the pewter.,True
6946,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vin was thankful for the pewter burning lightly in her stomach to give strength to her still weak legs.,True
7699,-1,-1,-1,4,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She quietly turned on her copper, then burned pewter, strengthening her body and washing away a bit of her fatigue.",True
7703,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"With pewter burning, her reactions were too fast, her body too strong.",True
7930,-1,-1,3,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"She reached to burn copper and tin, but waited—the disturbance was getting closer.",True
7933,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vin burned tin to hear what was said.,True
7982,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Each metal, when burned, gave off a distinct signal, recognizable to one who was well practiced with bronze.",True
7983,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"The man in the distance burned tin, as did the four others Kelsier had sensed hiding around Keep Tekiel.",True
7996,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"He paused near the garden well, and—burning bronze to make certain no Allomancers were near—reached into a stand of bushes to retrieve a large sack.",True
7997,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,It was heavy enough that he had to burn pewter to pull it free and throw it over his shoulder.,True
8492,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vin inched closer—keeping to the side of the boxes—and burned tin.,True
8578,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"I can teach you how to use it properly—if you practice what I show you, then you will have an advantage that many Mistborn dismiss.”
“But, don’t other Mistborn know to burn copper?” Vin asked.",True
8586,-1,-1,-1,-1,-1,-1,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“There are great advantages to burning bronze, rather than just running around with your copper on.",True
8588,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Copper makes you immune to having your emotions Pushed or Pulled.”
“But that’s a good thing.”
Marsh cocked his head slightly.",True
8600,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Now burn bronze.”
Vin did so.",True
8625,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"“He is burning iron, as I asked him to so that you could practice.",True
